HJD,Bz,Sig
2451584.392,-153,57
2451586.412,-113,57
2455080.134,315.17,7.5
2455101.154,318.48,7.44
2455102.06,337.38,8.61
2455219.774,299.14,7.65
2455220.87,323.89,11.75
2455221.759,340.87,7.56
2455222.942,317.78,7.14
2455223.977,314.15,7.58
2455224.895,341.78,6.98
2455225.941,334.86,6.67
2455226.878,315.96,6.96
2455227.944,307.42,7.72
2455228.727,305.09,9.47
2455228.937,315.43,8.57
2455229.707,353.74,16.52
2455229.712,337.98,13.05
2455229.718,345.31,10.12
2455555.037,316.49,8.92
2455556.057,311.85,8.48
2455958.835,312.55,6.71
2455961.892,297.39,6.77
2455967.803,304.29,7.38
2455969.711,315.84,7.74
2456290.962,279.43,9.08
2456293.027,265.79,6.95
2456293.971,284.78,7.93
2456294.843,272.12,10.26
2456294.848,277.31,9.27
2456294.854,268.96,8.25
2456669.001,240.56,8.09
2456673.967,248.67,11.24
2456676.934,230.59,8.51
2456677.941,238.2,11.43
2457788.884,90.14,8.44
2457788.89,97.36,8.27
2457788.896,85.54,7.87
2457789.918,90.66,7.13
2457795.756,53.63,45.39
2457795.761,54.02,64.13
2457798.745,75.84,7.12
2457798.79,82.49,7.37
2457799.746,73.04,7.03
2457799.84,78.3,6.43
2457800.785,78.61,6.9
2457800.844,79.15,9.14
2457801.756,78.33,6.45
2457801.85,73.62,6.62
2457816.83,77.97,6.55
2457816.903,77.59,7.55
2457818.75,69.73,6.88
2457818.757,76.9,6.49
2457818.8,73,6.17
2457818.807,67.2,5.99
2457825.703,72.04,7.96
2457826.786,73.89,8.65
2458148.755,23.98,10.83
2458148.973,11.91,8.01
2458150.801,0.67,10.86
2458153.857,9.94,7.76
2458154.71,3.15,12.64
2458154.915,3.51,8.21
2458156.766,2.77,12.12
2458156.916,18.76,11.66
2454488.981,314.78,8.3
2458557.768,-104.84,8.68
2458557.774,-98.65,8.88
2458557.839,-76.99,10.06
2458557.845,-89.74,8.75
2458557.85,-93.47,9.16
2458559.764,-87.29,8.07
2458559.769,-78.91,8.2
2458559.785,-79.12,7.58
2458559.79,-80.65,8.58
2458559.795,-95.33,8.57
2458559.813,-87.41,8.22
2458559.825,-80,8.51
2458560.714,-102.22,7.65
2458560.72,-92.15,7.65
2458560.725,-89.75,8.21
2458560.763,-76.52,7.93
2458563.744,-78.79,7.25
2458564.848,-80.44,7.19
2458564.853,-85.72,7.2
2459183.05,-207.82,7.8
2459184,-224.96,9.88
2459187.026,-195.8,7.51
2459190.066,-210.22,7.72
2459190.966,-213.27,7.72
2459191.937,-199.11,7.36
2459192.03,-206.37,7.93